回答,送信完了：,コース,グループ,ID,フルネーム,管理者用ユーザ,Q00_経験調査,"Q00_Q2_if_(200,200)","Q00_Q2_if_(180,200)","Q00_Q2_if_(200,170)","Q00_Q2_if_(220,200)","Q00_Q2_if_(190,210)",Q00_age,Q00_sex,Q00_area,Q00_familyhouse,Q00_consensus
2730361,"2024/04/19 16:57:17",産業組織論　０１,,,匿名1,,"3 : １年以上前","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",25,"1 : 男性","3 : 関東地方",1,1
2742697,"2024/04/23 13:17:19",産業組織論　０１,,,匿名2,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",27,"1 : 男性","9 : 海外",0,1
2728507,"2024/04/19 12:42:50",産業組織論　０１,,,匿名3,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",23,"1 : 男性","3 : 関東地方",1,1
2740778,"2024/04/22 23:11:25",産業組織論　０１,,,匿名4,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","1 : きのこの山を買う",23,"1 : 男性","4 : 中部地方",0,1
2730716,"2024/04/19 18:01:15",産業組織論　０１,,,匿名5,,"3 : １年以上前","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",22,"1 : 男性","3 : 関東地方",1,1
2729720,"2024/04/19 15:18:28",産業組織論　０１,,,匿名6,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","3 : どちらも買わない","1 : きのこの山を買う",22,"2 : 女性","3 : 関東地方",1,1
2737681,"2024/04/22 13:49:38",産業組織論　０１,,,匿名7,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"2 : 女性","3 : 関東地方",1,1
2746890,"2024/04/24 11:03:04",産業組織論　０１,,,匿名8,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2742177,"2024/04/23 11:29:07",産業組織論　０１,,,匿名9,,"2 : 過去半年から１年以内","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","2 : 東北地方",0,1
2741573,"2024/04/23 10:19:55",産業組織論　０１,,,匿名10,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",22,"1 : 男性","3 : 関東地方",1,1
2747052,"2024/04/24 11:54:37",産業組織論　０１,,,匿名11,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"2 : 女性","3 : 関東地方",1,1
2744297,"2024/04/23 17:29:12",産業組織論　０１,,,匿名12,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2735551,"2024/04/21 21:41:27",産業組織論　０１,,,匿名13,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","3 : 関東地方",1,1
2733961,"2024/04/21 09:14:39",産業組織論　０１,,,匿名14,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2728487,"2024/04/19 12:36:51",産業組織論　０１,,,匿名15,,"3 : １年以上前","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"1 : 男性","3 : 関東地方",1,1
2728469,"2024/04/19 12:31:05",産業組織論　０１,,,匿名16,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","8 : 九州地方(沖縄含む)",0,1
2729803,"2024/04/19 15:28:07",産業組織論　０１,,,匿名17,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","2 : 東北地方",1,1
2748858,"2024/04/24 16:43:31",産業組織論　０１,,,匿名18,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",22,"1 : 男性","8 : 九州地方(沖縄含む)",0,1
2733310,"2024/04/20 20:42:19",産業組織論　０１,,,匿名19,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",0,1
2728575,"2024/04/19 12:56:53",産業組織論　０１,,,匿名20,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"1 : 男性","3 : 関東地方",1,1
2728634,"2024/04/19 13:09:43",産業組織論　０１,,,匿名21,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"2 : 女性","3 : 関東地方",1,1
2732783,"2024/04/20 15:33:11",産業組織論　０１,,,匿名22,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","7 : 四国地方",0,1
2728655,"2024/04/19 13:12:39",産業組織論　０１,,,匿名23,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","3 : 関東地方",1,1
2730539,"2024/04/19 17:14:57",産業組織論　０１,,,匿名24,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2730600,"2024/04/19 17:30:13",産業組織論　０１,,,匿名25,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"2 : 女性","3 : 関東地方",1,1
2749131,"2024/04/24 17:28:06",産業組織論　０１,,,匿名26,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"2 : 女性","6 : 中国地方",0,1
2728479,"2024/04/19 12:33:52",産業組織論　０１,,,匿名27,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"1 : 男性","3 : 関東地方",1,1
2742713,"2024/04/23 13:21:05",産業組織論　０１,,,匿名28,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2728628,"2024/04/19 13:08:25",産業組織論　０１,,,匿名29,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","3 : 関東地方",1,1
2743947,"2024/04/23 16:30:33",産業組織論　０１,,,匿名30,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"2 : 女性","3 : 関東地方",1,1
2730020,"2024/04/19 16:11:00",産業組織論　０１,,,匿名31,,"4 : 食べたことがない","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","9 : 海外",0,1
2740188,"2024/04/22 20:20:42",産業組織論　０１,,,匿名32,,"3 : １年以上前","3 : どちらも買わない","1 : きのこの山を買う","3 : どちらも買わない","3 : どちらも買わない","1 : きのこの山を買う",21,"1 : 男性","5 : 近畿地方",0,1
2742317,"2024/04/23 12:07:55",産業組織論　０１,,,匿名33,,"1 : 過去半年以内","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",20,"2 : 女性","3 : 関東地方",1,1
2742615,"2024/04/23 12:57:03",産業組織論　０１,,,匿名34,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",0,1
2740922,"2024/04/22 23:45:03",産業組織論　０１,,,匿名35,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",20,"1 : 男性","3 : 関東地方",1,1
2732157,"2024/04/20 10:52:44",産業組織論　０１,,,匿名36,,"1 : 過去半年以内","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",,,,,1
2735320,"2024/04/21 20:16:27",産業組織論　０１,,,匿名37,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2728696,"2024/04/19 13:20:22",産業組織論　０１,,,匿名38,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","3 : どちらも買わない","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",1,1
2728480,"2024/04/19 12:34:16",産業組織論　０１,,,匿名39,,"1 : 過去半年以内","1 : きのこの山を買う","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2753382,"2024/04/25 17:02:59",産業組織論　０１,,,匿名40,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"2 : 女性","3 : 関東地方",0,1
2745250,"2024/04/23 21:53:08",産業組織論　０１,,,匿名41,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","3 : どちらも買わない","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",1,1
2728929,"2024/04/19 13:58:14",産業組織論　０１,,,匿名42,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","3 : どちらも買わない","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",1,1
2728912,"2024/04/19 13:54:22",産業組織論　０１,,,匿名43,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",1,1
2750147,"2024/04/24 22:53:43",産業組織論　０１,,,匿名44,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","2 : 東北地方",1,1
2728823,"2024/04/19 13:39:20",産業組織論　０１,,,匿名45,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","8 : 九州地方(沖縄含む)",0,1
2728491,"2024/04/19 12:38:42",産業組織論　０１,,,匿名46,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","3 : どちらも買わない",21,"1 : 男性","3 : 関東地方",1,1
2728627,"2024/04/19 13:07:50",産業組織論　０１,,,匿名47,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","3 : どちらも買わない","3 : どちらも買わない","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",0,1
2736566,"2024/04/22 08:41:18",産業組織論　０１,,,匿名48,,"3 : １年以上前","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",0,1
2740789,"2024/04/22 23:15:26",産業組織論　０１,,,匿名49,,"1 : 過去半年以内","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","3 : 関東地方",0,1
2728546,"2024/04/19 12:49:35",産業組織論　０１,,,匿名50,,"2 : 過去半年から１年以内","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",20,"1 : 男性","2 : 東北地方",0,1
2728547,"2024/04/19 12:49:53",産業組織論　０１,,,匿名51,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","3 : どちらも買わない",20,"1 : 男性","3 : 関東地方",1,1
2748142,"2024/04/24 14:59:18",産業組織論　０１,,,匿名52,,"1 : 過去半年以内","2 : たけのこの里を買う","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","5 : 近畿地方",1,1
2728549,"2024/04/19 12:50:42",産業組織論　０１,,,匿名53,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","4 : 中部地方",1,1
2741497,"2024/04/23 09:56:46",産業組織論　０１,,,匿名54,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"2 : 女性","3 : 関東地方",1,1
2732519,"2024/04/20 13:10:30",産業組織論　０１,,,匿名55,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2728523,"2024/04/19 12:47:09",産業組織論　０１,,,匿名56,,"2 : 過去半年から１年以内","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",20,"1 : 男性","3 : 関東地方",0,1
2737174,"2024/04/22 12:01:01",産業組織論　０１,,,匿名57,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",1,1
2734692,"2024/04/21 16:09:23",産業組織論　０１,,,匿名58,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","6 : 中国地方",0,1
2728470,"2024/04/19 12:31:20",産業組織論　０１,,,匿名59,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2739463,"2024/04/22 16:53:30",産業組織論　０１,,,匿名60,,"3 : １年以上前","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","3 : どちらも買わない",20,"2 : 女性","3 : 関東地方",1,1
2729147,"2024/04/19 14:28:16",産業組織論　０１,,,匿名61,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",1,1
2731070,"2024/04/19 19:25:11",産業組織論　０１,,,匿名62,,"4 : 食べたことがない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","9 : 海外",0,1
2745557,"2024/04/23 22:58:42",産業組織論　０１,,,匿名63,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",22,"2 : 女性","9 : 海外",0,1
2731124,"2024/04/19 19:43:41",産業組織論　０１,,,匿名64,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"1 : 男性","3 : 関東地方",1,1
2745454,"2024/04/23 22:39:33",産業組織論　０１,,,匿名65,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う",22,"1 : 男性","7 : 四国地方",1,0
2733222,"2024/04/20 19:42:31",産業組織論　０１,,,匿名66,,"3 : １年以上前","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",20,"1 : 男性","3 : 関東地方",0,1
2750398,"2024/04/24 23:45:11",産業組織論　０１,,,匿名67,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"2 : 女性","3 : 関東地方",1,1
2733450,"2024/04/20 22:12:02",産業組織論　０１,,,匿名68,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",1,1
2728879,"2024/04/19 13:48:29",産業組織論　０１,,,匿名69,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",1,1
2742459,"2024/04/23 12:22:48",産業組織論　０１,,,匿名70,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2729026,"2024/04/19 14:13:00",産業組織論　０１,,,匿名71,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","3 : どちらも買わない","3 : どちらも買わない","1 : きのこの山を買う",20,"1 : 男性","4 : 中部地方",1,1
2733835,"2024/04/21 01:55:27",産業組織論　０１,,,匿名72,,"1 : 過去半年以内","3 : どちらも買わない","1 : きのこの山を買う","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",20,"2 : 女性","9 : 海外",1,1
2731774,"2024/04/20 01:12:43",産業組織論　０１,,,匿名73,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"2 : 女性","3 : 関東地方",1,1
2728833,"2024/04/19 13:40:47",産業組織論　０１,,,匿名74,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","3 : どちらも買わない","3 : どちらも買わない","1 : きのこの山を買う",21,"1 : 男性","4 : 中部地方",0,1
2736966,"2024/04/22 11:13:04",産業組織論　０１,,,匿名75,,"3 : １年以上前","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2729999,"2024/04/19 16:05:41",産業組織論　０１,,,匿名76,,"1 : 過去半年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",20,"1 : 男性","8 : 九州地方(沖縄含む)",0,1
2730545,"2024/04/19 17:16:06",産業組織論　０１,,,匿名77,,"2 : 過去半年から１年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",20,"1 : 男性","3 : 関東地方",1,1
2733256,"2024/04/20 20:09:38",産業組織論　０１,,,匿名78,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",21,"2 : 女性","8 : 九州地方(沖縄含む)",0,1
2733280,"2024/04/20 20:22:23",産業組織論　０１,,,匿名79,,"1 : 過去半年以内","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない","3 : どちらも買わない",20,"2 : 女性","3 : 関東地方",1,1
2728647,"2024/04/19 13:12:15",産業組織論　０１,,,匿名80,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う",20,"1 : 男性","3 : 関東地方",1,1
